
映像名称                       PID 会话名              会话#       内存使用  状态            用户名                                                 CPU 时间 窗口标题                                                                
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                   714:21:54 暂缺                                                                    
svchost.exe                   3888 Services                   0      9,696 K Unknown         暂缺                                                    0:00:33 暂缺                                                                    
WUDFHost.exe                  3912 Services                   0      9,400 K Unknown         暂缺                                                    0:01:46 暂缺                                                                    
WUDFHost.exe                  4136 Services                   0      6,240 K Unknown         暂缺                                                    1:01:41 暂缺                                                                    
NVDisplay.Container.exe       4344 Console                    1     30,580 K Running         暂缺                                                    0:05:15 NvSvc                                                                   
svchost.exe                   4420 Services                   0      4,312 K Unknown         暂缺                                                    0:21:09 暂缺                                                                    
svchost.exe                   4456 Services                   0     12,236 K Unknown         暂缺                                                    0:03:19 暂缺                                                                    
svchost.exe                   4936 Services                   0      8,928 K Unknown         暂缺                                                    0:01:04 暂缺                                                                    
svchost.exe                   5156 Services                   0      9,840 K Unknown         暂缺                                                    0:01:55 暂缺                                                                    
svchost.exe                   5260 Services                   0     40,832 K Unknown         暂缺                                                    0:02:47 暂缺                                                                    
audiodg.exe                   5288 Services                   0     14,128 K Unknown         暂缺                                                    2:41:50 暂缺                                                                    
svchost.exe                   5680 Services                   0      5,572 K Unknown         暂缺                                                    0:01:59 暂缺                                                                    
svchost.exe                   5884 Services                   0      7,880 K Unknown         暂缺                                                    0:02:54 暂缺                                                                    
sihost.exe                    6268 Console                    1     22,748 K Running         DESKTOP-CBSK60R\OCEAN                                   0:01:34 暂缺                                                                    
svchost.exe                   6304 Console                    1      3,480 K Unknown         DESKTOP-CBSK60R\OCEAN                                   0:00:03 暂缺                                                                    
svchost.exe                   6312 Console                    1     19,884 K Unknown         DESKTOP-CBSK60R\OCEAN                                   0:17:32 暂缺                                                                    
svchost.exe                   6392 Console                    1     35,736 K Running         DESKTOP-CBSK60R\OCEAN                                   0:05:13 Windows Push Notifications Platform                                     
svchost.exe                   6504 Services                   0     15,004 K Unknown         暂缺                                                    0:01:07 暂缺                                                                    
taskhostw.exe                 6744 Console                    1     12,600 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:28 Task Host Window                                                        
explorer.exe                  6980 Console                    1    182,028 K Running         DESKTOP-CBSK60R\OCEAN                                   1:28:07 暂缺                                                                    
svchost.exe                   7104 Services                   0      3,516 K Unknown         暂缺                                                    0:00:02 暂缺                                                                    
svchost.exe                   7016 Services                   0     13,012 K Unknown         暂缺                                                    0:00:41 暂缺                                                                    
GoogleCrashHandler.exe        7208 Services                   0      1,120 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
svchost.exe                   7276 Services                   0      2,388 K Unknown         暂缺                                                    0:00:07 暂缺                                                                    
GoogleCrashHandler64.exe      7304 Services                   0      1,056 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
